title,category
swiggy order,Food
swiggy order 178,Food
mcdonalds meal 4262,Food
dominos pizza 1104,Food
biryani night,Food
zomato delivery,Food
dinner outing 1229,Food
lunch payment,Food
restaurant bill 3441,Food
dinner outing,Food
dominos pizza,Food
mcdonalds meal 7764,Food
mcdonalds meal,Food
mcdonalds meal 3490,Food
restaurant bill,Food
dinner outing 3223,Food
swiggy order,Food
dinner outing,Food
swiggy order,Food
mcdonalds meal 5305,Food
coffee shop 3738,Food
burger king 3541,Food
mcdonalds meal,Food
biryani night 1189,Food
swiggy order 8165,Food
swiggy order,Food
lunch payment 7412,Food
zomato delivery,Food
swiggy order 4294,Food
swiggy order 9054,Food
biryani night,Food
dinner outing 8098,Food
zomato delivery,Food
zomato delivery 3182,Food
zomato delivery 6532,Food
lunch payment 2936,Food
dinner outing,Food
burger king,Food
lunch payment 6559,Food
mcdonalds meal 6993,Food
restaurant bill 2792,Food
dinner outing,Food
mcdonalds meal 264,Food
dominos pizza 6425,Food
mcdonalds meal 1628,Food
zomato delivery,Food
coffee shop,Food
lunch payment 761,Food
biryani night 8317,Food
burger king,Food
lunch payment,Food
restaurant bill,Food
zomato delivery 9599,Food
burger king 765,Food
swiggy order 234,Food
lunch payment 7884,Food
swiggy order 8827,Food
burger king,Food
coffee shop 3038,Food
coffee shop,Food
restaurant bill 2407,Food
swiggy order,Food
zomato delivery 1610,Food
dinner outing 3678,Food
zomato delivery 9869,Food
burger king 4534,Food
restaurant bill 1151,Food
lunch payment 1405,Food
zomato delivery 7307,Food
zomato delivery,Food
dinner outing,Food
biryani night 1329,Food
lunch payment 7089,Food
lunch payment,Food
biryani night,Food
swiggy order,Food
dominos pizza,Food
dinner outing,Food
swiggy order 8394,Food
coffee shop,Food
lunch payment 4502,Food
restaurant bill 7960,Food
swiggy order,Food
restaurant bill,Food
biryani night,Food
swiggy order,Food
coffee shop,Food
coffee shop 8827,Food
biryani night,Food
mcdonalds meal 2092,Food
biryani night 2890,Food
zomato delivery,Food
mcdonalds meal,Food
burger king 1257,Food
mcdonalds meal 7633,Food
lunch payment 5657,Food
burger king 5877,Food
coffee shop,Food
zomato delivery,Food
dominos pizza 7977,Food
burger king,Food
zomato delivery 2151,Food
zomato delivery,Food
lunch payment,Food
lunch payment,Food
dominos pizza 6412,Food
coffee shop,Food
petrol bunk 8064,Transport
flight booking,Transport
petrol bunk,Transport
taxi fare 8382,Transport
ola cab,Transport
ola cab,Transport
uber ride 7516,Transport
metro pass,Transport
metro pass,Transport
fuel station 2863,Transport
taxi fare,Transport
air ticket,Transport
air ticket,Transport
petrol bunk 6140,Transport
metro pass,Transport
united airlines 3766,Transport
bus fare,Transport
petrol bunk,Transport
flight booking,Transport
ola cab 2333,Transport
taxi fare 2039,Transport
flight booking,Transport
taxi fare 7339,Transport
taxi fare,Transport
metro pass,Transport
air ticket,Transport
uber ride 9451,Transport
metro pass,Transport
united airlines,Transport
bus fare 7390,Transport
fuel station 716,Transport
bus fare 6505,Transport
flight booking,Transport
fuel station 6089,Transport
flight booking,Transport
uber ride 1588,Transport
uber ride 4302,Transport
metro pass,Transport
united airlines,Transport
united airlines 5306,Transport
ola cab,Transport
petrol bunk 6016,Transport
bus fare 8078,Transport
petrol bunk,Transport
uber ride 3241,Transport
taxi fare,Transport
fuel station,Transport
petrol bunk 6660,Transport
flight booking,Transport
flight booking,Transport
metro pass 3700,Transport
air ticket,Transport
air ticket,Transport
metro pass,Transport
taxi fare,Transport
air ticket,Transport
bus fare 171,Transport
fuel station,Transport
ola cab,Transport
petrol bunk,Transport
ola cab,Transport
air ticket 8594,Transport
uber ride 5102,Transport
air ticket 130,Transport
air ticket 2037,Transport
petrol bunk 3644,Transport
ola cab 1480,Transport
petrol bunk,Transport
petrol bunk 1252,Transport
metro pass,Transport
flight booking 3953,Transport
metro pass,Transport
uber ride 4191,Transport
fuel station,Transport
united airlines,Transport
metro pass 9008,Transport
flight booking,Transport
metro pass 2599,Transport
fuel station,Transport
fuel station 4852,Transport
ola cab,Transport
bus fare 7089,Transport
uber ride,Transport
air ticket 3332,Transport
bus fare,Transport
ola cab 2823,Transport
metro pass,Transport
taxi fare,Transport
united airlines,Transport
petrol bunk 7146,Transport
taxi fare 246,Transport
bus fare 2172,Transport
taxi fare 8807,Transport
fuel station 6473,Transport
bus fare 4249,Transport
uber ride 5635,Transport
bus fare 3928,Transport
fuel station,Transport
flight booking,Transport
uber ride,Transport
metro pass 2718,Transport
united airlines,Transport
bus fare 3037,Transport
petrol bunk,Transport
metro pass,Transport
fuel station 3064,Transport
flight booking,Transport
air ticket 575,Transport
uber ride 1611,Transport
air ticket,Transport
metro pass 4918,Transport
fuel station,Transport
bus fare,Transport
ola cab 6229,Transport
taxi fare,Transport
flight booking 6601,Transport
united airlines,Transport
air ticket,Transport
fuel station,Transport
united airlines 9076,Transport
metro pass 6893,Transport
petrol bunk,Transport
uber ride 6762,Transport
ola cab,Transport
flight booking,Transport
flight booking,Transport
fuel station 8499,Transport
taxi fare,Transport
fuel station,Transport
united airlines 8757,Transport
air ticket 5802,Transport
flight booking,Transport
metro pass 2378,Transport
united airlines 698,Transport
taxi fare 7058,Transport
petrol bunk,Transport
uber ride,Transport
united airlines,Transport
bus fare 869,Transport
fuel station 1431,Transport
bus fare,Transport
uber ride,Transport
air ticket,Transport
flight booking 5665,Transport
flight booking 3105,Transport
metro pass,Transport
flight booking 8210,Transport
ola cab,Transport
fuel station,Transport
petrol bunk,Transport
fuel station,Transport
petrol bunk 6630,Transport
flight booking,Transport
petrol bunk 9556,Transport
ola cab,Transport
ola cab 7144,Transport
taxi fare,Transport
metro pass 1425,Transport
taxi fare,Transport
flight booking 3643,Transport
united airlines 20,Transport
united airlines 7157,Transport
flight booking 2517,Transport
fuel station 2270,Transport
taxi fare 9976,Transport
fuel station,Transport
uber ride 6308,Transport
petrol bunk,Transport
taxi fare 9080,Transport
united airlines,Transport
bus fare,Transport
flight booking 7180,Transport
petrol bunk 6386,Transport
taxi fare,Transport
ola cab,Transport
flight booking,Transport
air ticket,Transport
taxi fare,Transport
ola cab,Transport
petrol bunk 1769,Transport
ola cab,Transport
bus fare,Transport
air ticket,Transport
ola cab 1689,Transport
flight booking,Transport
petrol bunk,Transport
fuel station,Transport
flight booking 702,Transport
uber ride,Transport
united airlines,Transport
bus fare,Transport
air ticket 2002,Transport
flight booking 2376,Transport
bus fare,Transport
united airlines 5559,Transport
taxi fare,Transport
ola cab 818,Transport
united airlines,Transport
fuel station,Transport
petrol bunk 3265,Transport
air ticket 4508,Transport
bus fare,Transport
petrol bunk 4576,Transport
flight booking,Transport
bus fare,Transport
united airlines,Transport
petrol bunk,Transport
flight booking 307,Transport
metro pass,Transport
united airlines,Transport
uber ride,Transport
ola cab,Transport
united airlines,Transport
ola cab,Transport
bus fare,Transport
ola cab,Transport
flight booking,Transport
flight booking 6322,Transport
taxi fare,Transport
air ticket 6920,Transport
taxi fare 5406,Transport
uber ride,Transport
bus fare,Transport
flight booking 9781,Transport
fuel station 7451,Transport
flight booking 3104,Transport
united airlines 1471,Transport
fuel station 5267,Transport
uber ride,Transport
taxi fare,Transport
flight booking,Transport
ola cab,Transport
bus fare 7841,Transport
bus fare,Transport
air ticket 8604,Transport
taxi fare 8773,Transport
flight booking 4689,Transport
taxi fare 9327,Transport
uber ride 5071,Transport
ola cab 7183,Transport
flight booking 7635,Transport
ola cab 3709,Transport
flight booking 6158,Transport
fuel station,Transport
ola cab 575,Transport
taxi fare,Transport
flight booking,Transport
bus fare,Transport
ola cab,Transport
taxi fare,Transport
flight booking,Transport
uber ride,Transport
petrol bunk,Transport
air ticket 2891,Transport
bus fare 6272,Transport
ola cab 2087,Transport
uber ride,Transport
ola cab,Transport
uber ride,Transport
united airlines,Transport
petrol bunk 3878,Transport
flight booking,Transport
metro pass 2391,Transport
united airlines 8868,Transport
petrol bunk,Transport
ola cab,Transport
petrol bunk 5518,Transport
ola cab 1706,Transport
taxi fare 9013,Transport
metro pass,Transport
flight booking,Transport
united airlines 1688,Transport
ola cab,Transport
uber ride,Transport
united airlines,Transport
fuel station,Transport
petrol bunk,Transport
petrol bunk,Transport
flight booking,Transport
taxi fare,Transport
ola cab,Transport
united airlines 2484,Transport
fuel station 2340,Transport
air ticket 7440,Transport
flight booking,Transport
bus fare,Transport
petrol bunk,Transport
uber ride 7184,Transport
fuel station 3430,Transport
air ticket,Transport
united airlines,Transport
air ticket,Transport
united airlines,Transport
metro pass 863,Transport
air ticket,Transport
taxi fare 1754,Transport
metro pass 2484,Transport
taxi fare 8927,Transport
air ticket,Transport
fuel station,Transport
flight booking 2629,Transport
air ticket 5997,Transport
united airlines,Transport
flight booking 5281,Transport
ola cab,Transport
air ticket,Transport
ola cab 7722,Transport
united airlines 1186,Transport
united airlines,Transport
flight booking 6900,Transport
ola cab,Transport
uber ride 5074,Transport
taxi fare 321,Transport
ola cab,Transport
uber ride 6435,Transport
ola cab,Transport
metro pass 3010,Transport
united airlines,Transport
fuel station 753,Transport
ola cab 7775,Transport
taxi fare 901,Transport
flight booking,Transport
united airlines,Transport
ola cab,Transport
ola cab,Transport
ola cab,Transport
petrol bunk,Transport
ola cab 334,Transport
air ticket 2134,Transport
flight booking,Transport
uber ride 8326,Transport
taxi fare 2302,Transport
flight booking,Transport
flight booking,Transport
taxi fare,Transport
petrol bunk,Transport
metro pass,Transport
flight booking,Transport
ola cab,Transport
metro pass 1300,Transport
taxi fare 4369,Transport
bus fare,Transport
united airlines 385,Transport
air ticket,Transport
taxi fare,Transport
petrol bunk,Transport
taxi fare 1822,Transport
united airlines 1295,Transport
bus fare,Transport
flight booking 3881,Transport
petrol bunk 5992,Transport
fuel station 3044,Transport
taxi fare 470,Transport
flight booking 4678,Transport
petrol bunk 8665,Transport
taxi fare 5801,Transport
metro pass,Transport
fuel station,Transport
ola cab,Transport
flight booking,Transport
uber ride,Transport
metro pass 4833,Transport
uber ride,Transport
ola cab,Transport
bus fare 2858,Transport
fuel station 7524,Transport
ola cab,Transport
petrol bunk,Transport
fuel station 767,Transport
bus fare,Transport
fuel station,Transport
united airlines 1241,Transport
petrol bunk,Transport
metro pass 8247,Transport
bus fare 6434,Transport
air ticket,Transport
uber ride,Transport
fuel station 7595,Transport
uber ride,Transport
uber ride,Transport
petrol bunk 8194,Transport
bus fare,Transport
flight booking 3413,Transport
united airlines 800,Transport
taxi fare,Transport
uber ride 8455,Transport
taxi fare,Transport
flight booking 1645,Transport
ola cab 1119,Transport
metro pass 8919,Transport
flight booking,Transport
flight booking,Transport
air ticket 9920,Transport
flight booking,Transport
united airlines 1344,Transport
united airlines 3912,Transport
bus fare,Transport
metro pass,Transport
taxi fare,Transport
taxi fare 8112,Transport
fuel station 4772,Transport
flight booking 277,Transport
petrol bunk 5563,Transport
metro pass 4515,Transport
flight booking 4824,Transport
united airlines,Transport
bus fare,Transport
flight booking,Transport
taxi fare,Transport
ola cab,Transport
taxi fare 523,Transport
metro pass 124,Transport
ola cab,Transport
united airlines 1992,Transport
flight booking,Transport
fuel station,Transport
fuel station 2340,Transport
bus fare 1469,Transport
uber ride,Transport
fuel station,Transport
flight booking,Transport
petrol bunk 7630,Transport
uber ride,Transport
metro pass,Transport
fuel station 6927,Transport
fuel station 6402,Transport
flight booking,Transport
air ticket,Transport
air ticket,Transport
taxi fare,Transport
bus fare,Transport
ola cab,Transport
taxi fare 9861,Transport
fuel station,Transport
united airlines 5731,Transport
air ticket 2845,Transport
fuel station 6107,Transport
united airlines,Transport
uber ride 3740,Transport
fuel station,Transport
uber ride 6840,Transport
fuel station 6046,Transport
fuel station 9534,Transport
taxi fare,Transport
bus fare,Transport
taxi fare,Transport
air ticket,Transport
united airlines 1333,Transport
taxi fare 5023,Transport
petrol bunk 1412,Transport
metro pass 8961,Transport
united airlines 5961,Transport
united airlines,Transport
taxi fare 6194,Transport
fuel station 1596,Transport
air ticket,Transport
fuel station 776,Transport
fuel station,Transport
fuel station,Transport
air ticket,Transport
bus fare 9131,Transport
petrol bunk 4907,Transport
taxi fare 6220,Transport
petrol bunk 119,Transport
bus fare,Transport
petrol bunk 1532,Transport
uber ride 68,Transport
united airlines 8689,Transport
petrol bunk 5260,Transport
united airlines,Transport
fuel station,Transport
taxi fare 9782,Transport
flight booking 9982,Transport
flight booking,Transport
uber ride,Transport
metro pass 3148,Transport
air ticket,Transport
flight booking 8530,Transport
united airlines,Transport
metro pass,Transport
united airlines,Transport
bus fare 2462,Transport
flight booking,Transport
uber ride,Transport
fuel station 5566,Transport
flight booking,Transport
metro pass 8017,Transport
air ticket 1213,Transport
petrol bunk,Transport
flight booking 8581,Transport
ola cab 6818,Transport
metro pass,Transport
uber ride,Transport
uber ride 1292,Transport
uber ride,Transport
bus fare,Transport
petrol bunk,Transport
flight booking,Transport
ola cab,Transport
petrol bunk 584,Transport
myntra shopping 6109,Shopping
shoes from nike 7895,Shopping
lifestyle mall,Shopping
shoes from nike 3869,Shopping
jeans shopping 2449,Shopping
myntra shopping 6959,Shopping
amazon order,Shopping
flipkart purchase 2988,Shopping
flipkart purchase 7582,Shopping
flipkart purchase 9121,Shopping
jeans shopping 4813,Shopping
shoes from nike 4031,Shopping
pantaloons,Shopping
flipkart purchase 8294,Shopping
amazon order,Shopping
shoes from nike,Shopping
amazon order,Shopping
tshirt bought,Shopping
jeans shopping,Shopping
lifestyle mall,Shopping
online apparel 7636,Shopping
jeans shopping,Shopping
online apparel 5631,Shopping
myntra shopping 2137,Shopping
tshirt bought,Shopping
amazon order 4064,Shopping
flipkart purchase,Shopping
clothing store 3707,Shopping
tshirt bought,Shopping
clothing store,Shopping
lifestyle mall 7173,Shopping
shoes from nike 4187,Shopping
amazon order 8908,Shopping
jeans shopping 982,Shopping
myntra shopping 451,Shopping
flipkart purchase 3492,Shopping
shoes from nike,Shopping
myntra shopping,Shopping
jeans shopping 5593,Shopping
shoes from nike,Shopping
shoes from nike,Shopping
online apparel,Shopping
lifestyle mall 5601,Shopping
tshirt bought,Shopping
amazon order,Shopping
amazon order 2215,Shopping
pantaloons 2635,Shopping
flipkart purchase,Shopping
shoes from nike 4242,Shopping
myntra shopping 5185,Shopping
tshirt bought 435,Shopping
myntra shopping 4405,Shopping
flipkart purchase,Shopping
lifestyle mall,Shopping
jeans shopping,Shopping
shoes from nike,Shopping
tshirt bought,Shopping
flipkart purchase,Shopping
flipkart purchase,Shopping
amazon order,Shopping
amazon order 7225,Shopping
myntra shopping,Shopping
lifestyle mall 8015,Shopping
myntra shopping,Shopping
pantaloons 3609,Shopping
clothing store,Shopping
flipkart purchase 5720,Shopping
online apparel 153,Shopping
pantaloons 5276,Shopping
shoes from nike,Shopping
amazon order,Shopping
tshirt bought,Shopping
pantaloons,Shopping
jeans shopping,Shopping
online apparel,Shopping
pantaloons,Shopping
lifestyle mall,Shopping
jeans shopping 5019,Shopping
tshirt bought 6257,Shopping
pantaloons 9320,Shopping
amazon order 1114,Shopping
lifestyle mall,Shopping
tshirt bought,Shopping
jeans shopping 4560,Shopping
tshirt bought,Shopping
online apparel,Shopping
pantaloons 8390,Shopping
amazon order,Shopping
shoes from nike 3331,Shopping
online apparel,Shopping
tshirt bought,Shopping
lifestyle mall,Shopping
lifestyle mall,Shopping
online apparel,Shopping
jeans shopping 5738,Shopping
pantaloons,Shopping
amazon order,Shopping
pantaloons,Shopping
lifestyle mall 4808,Shopping
shoes from nike 4042,Shopping
shoes from nike,Shopping
clothing store 8475,Shopping
pantaloons 9822,Shopping
online apparel,Shopping
amazon order 4982,Shopping
jeans shopping,Shopping
flipkart purchase 7678,Shopping
tshirt bought,Shopping
online apparel,Shopping
myntra shopping,Shopping
myntra shopping,Shopping
myntra shopping,Shopping
jeans shopping,Shopping
shoes from nike 7070,Shopping
tshirt bought 5585,Shopping
online apparel 7726,Shopping
tshirt bought 4241,Shopping
myntra shopping 1395,Shopping
shoes from nike 59,Shopping
lifestyle mall 8353,Shopping
jeans shopping,Shopping
clothing store 5663,Shopping
myntra shopping,Shopping
myntra shopping,Shopping
amazon order 9254,Shopping
tshirt bought 7607,Shopping
pantaloons,Shopping
tshirt bought,Shopping
lifestyle mall 2302,Shopping
tshirt bought,Shopping
myntra shopping,Shopping
tshirt bought,Shopping
clothing store,Shopping
tshirt bought 3582,Shopping
amazon order,Shopping
flipkart purchase 8545,Shopping
online apparel,Shopping
jeans shopping,Shopping
lifestyle mall 4797,Shopping
flipkart purchase 185,Shopping
flipkart purchase 9686,Shopping
shoes from nike 392,Shopping
lifestyle mall 3750,Shopping
shoes from nike,Shopping
amazon order 993,Shopping
clothing store,Shopping
tshirt bought,Shopping
lifestyle mall 8582,Shopping
myntra shopping,Shopping
jeans shopping 9826,Shopping
myntra shopping,Shopping
shoes from nike,Shopping
jeans shopping 4062,Shopping
pantaloons 7425,Shopping
clothing store,Shopping
amazon order,Shopping
online apparel,Shopping
myntra shopping 3202,Shopping
amazon order,Shopping
shoes from nike,Shopping
clothing store 5206,Shopping
online apparel 5311,Shopping
shoes from nike,Shopping
jeans shopping 5870,Shopping
shoes from nike,Shopping
pantaloons 5365,Shopping
tshirt bought,Shopping
amazon order 9023,Shopping
shoes from nike,Shopping
clothing store 2345,Shopping
lifestyle mall 4149,Shopping
shoes from nike,Shopping
lifestyle mall 3625,Shopping
online apparel 2464,Shopping
lifestyle mall 428,Shopping
flipkart purchase,Shopping
pantaloons,Shopping
tshirt bought 1242,Shopping
tshirt bought 2753,Shopping
lifestyle mall,Shopping
lifestyle mall 6002,Shopping
lifestyle mall,Shopping
clothing store,Shopping
myntra shopping,Shopping
jeans shopping,Shopping
online apparel,Shopping
shoes from nike,Shopping
amazon order 6531,Shopping
amazon order 4568,Shopping
amazon order 866,Shopping
pantaloons,Shopping
lifestyle mall,Shopping
jeans shopping,Shopping
tshirt bought 7079,Shopping
lifestyle mall,Shopping
shoes from nike,Shopping
pantaloons 9733,Shopping
online apparel,Shopping
amazon order 7718,Shopping
pantaloons 582,Shopping
jeans shopping,Shopping
online apparel 3562,Shopping
shoes from nike 1783,Shopping
pantaloons 6355,Shopping
clothing store 6648,Shopping
lifestyle mall,Shopping
amazon order,Shopping
clothing store,Shopping
flipkart purchase 530,Shopping
amazon order,Shopping
flipkart purchase,Shopping
tshirt bought,Shopping
myntra shopping,Shopping
tshirt bought,Shopping
tshirt bought 7350,Shopping
flipkart purchase 2280,Shopping
shoes from nike 4708,Shopping
shoes from nike,Shopping
online apparel,Shopping
flipkart purchase,Shopping
flipkart purchase 6655,Shopping
flipkart purchase,Shopping
online apparel,Shopping
flipkart purchase,Shopping
lifestyle mall,Shopping
flipkart purchase 8842,Shopping
flipkart purchase 5301,Shopping
lifestyle mall 8130,Shopping
shoes from nike 7066,Shopping
lifestyle mall 3646,Shopping
pantaloons 4687,Shopping
shoes from nike 2811,Shopping
shoes from nike 1790,Shopping
shoes from nike 9302,Shopping
tshirt bought 9326,Shopping
clothing store 5280,Shopping
amazon order,Shopping
jeans shopping,Shopping
amazon order,Shopping
flipkart purchase 3430,Shopping
online apparel 5343,Shopping
flipkart purchase,Shopping
pantaloons,Shopping
online apparel 216,Shopping
online apparel,Shopping
clothing store 1675,Shopping
lifestyle mall 6913,Shopping
flipkart purchase,Shopping
flipkart purchase 583,Shopping
jeans shopping,Shopping
flipkart purchase 2096,Shopping
